Process,Burst time,Arrival Time,,Arrival Time(normalized)
P4947,175,51,,0.51
P4948,184,50.25,,0.5025
P4949,241,25,,0.25
P4950,271,48.25,,0.4825
P4951,211,50,,0.5
P4952,166,54,,0.54
P4953,152,48.5,,0.485
P4954,228,68.5,,0.685
P4955,102,28.25,,0.2825
P4956,177,78,,0.78
P4957,294,53.25,,0.5325
P4958,232,47.25,,0.4725
P4959,139,34.25,,0.3425
P4960,229,37.75,,0.3775
P4961,236,52,,0.52
P4962,180,26.5,,0.265
P4963,223,55.25,,0.5525
P4964,160,49,,0.49
P4965,269,39,,0.39
P4966,275,60.5,,0.605
P4967,222,37.5,,0.375
P4968,294,66,,0.66
P4969,283,42.5,,0.425
P4970,221,42.5,,0.425
P4971,206,58.5,,0.585
P4972,224,52.5,,0.525
P4973,216,32.75,,0.3275
P4974,323,69.5,,0.695
P4975,284,48.25,,0.4825
P4976,170,43,,0.43
P4977,108,73.5,,0.735
P4978,257,43.75,,0.4375
P4979,204,55.75,,0.5575
P4980,210,36.5,,0.365
P4981,194,73.75,,0.7375
P4982,204,58,,0.58
P4983,217,80.5,,0.805
P4984,177,50.25,,0.5025
P4985,218,54.25,,0.5425
P4986,198,53.25,,0.5325
P4987,292,48.75,,0.4875
P4988,191,35.5,,0.355
P4989,86,36,,0.36
P4990,284,24.25,,0.2425
P4991,293,60.25,,0.6025
P4992,180,41.25,,0.4125
P4993,191,76.25,,0.7625
P4994,189,73,,0.73
P4995,178,49,,0.49
P4996,201,73.75,,0.7375
P4997,209,64,,0.64
P4998,147,61.75,,0.6175
P4999,192,60.25,,0.6025
P5000,177,21.25,,0.2125
P5001,243,33.5,,0.335
P5002,256,30,,0.3
P5003,165,23.75,,0.2375
P5004,161,63,,0.63
P5005,248,53.25,,0.5325
P5006,173,67.5,,0.675
P5007,228,54.5,,0.545
P5008,311,51.25,,0.5125
P5009,169,98.5,,0.985
P5010,273,52.25,,0.5225
P5011,127,42.25,,0.4225
P5012,254,16.75,,0.1675
P5013,241,44,,0.44
P5014,184,66,,0.66
P5015,97,72.25,,0.7225
P5016,289,24.75,,0.2475
P5017,193,68.25,,0.6825
P5018,136,75.5,,0.755
P5019,267,37,,0.37
P5020,252,38,,0.38
P5021,167,60,,0.6
P5022,137,44,,0.44
P5023,217,64.75,,0.6475
P5024,165,46.25,,0.4625
P5025,172,31.25,,0.3125
P5026,120,37.25,,0.3725
P5027,242,27.25,,0.2725
P5028,144,24,,0.24
P5029,189,61.75,,0.6175
P5030,144,51.75,,0.5175
P5031,228,39.75,,0.3975
P5032,165,66.25,,0.6625
P5033,251,69.75,,0.6975
P5034,188,26.75,,0.2675
P5035,263,37.5,,0.375
P5036,256,36.25,,0.3625
P5037,198,52,,0.52
P5038,258,43.5,,0.435
P5039,213,82,,0.82
P5040,172,57.5,,0.575
P5041,255,29.25,,0.2925
P5042,209,64.5,,0.645
P5043,221,40,,0.4
P5044,176,13.25,,0.1325
P5045,173,63.5,,0.635
P5046,149,86.5,,0.865
P5047,154,30.5,,0.305
P5048,213,65.5,,0.655
P5049,188,76.75,,0.7675
P5050,247,25.25,,0.2525
P5051,230,55.75,,0.5575
P5052,316,56.5,,0.565
P5053,209,49.25,,0.4925
P5054,154,42,,0.42
P5055,209,40.5,,0.405
P5056,333,56.5,,0.565
P5057,272,75.5,,0.755
P5058,231,52.75,,0.5275
P5059,256,61.5,,0.615
P5060,173,58.25,,0.5825
P5061,306,65,,0.65
P5062,243,40.25,,0.4025
P5063,200,13.5,,0.135
P5064,169,68.5,,0.685
P5065,175,58.25,,0.5825
P5066,209,24.25,,0.2425
P5067,235,4,,0.04
P5068,246,43.25,,0.4325
P5069,247,76.25,,0.7625
P5070,305,59.5,,0.595
P5071,194,47.25,,0.4725
P5072,172,48,,0.48
P5073,192,61.25,,0.6125
P5074,296,40,,0.4
P5075,203,52.5,,0.525
P5076,127,39.75,,0.3975
P5077,258,24,,0.24
P5078,206,48.5,,0.485
P5079,239,35.75,,0.3575
P5080,222,44.5,,0.445
P5081,270,40,,0.4
P5082,263,62.75,,0.6275
P5083,195,41,,0.41
P5084,180,38,,0.38
P5085,246,23,,0.23
P5086,256,39.5,,0.395
P5087,243,55,,0.55
P5088,174,59.25,,0.5925
P5089,185,75.25,,0.7525
P5090,205,63.25,,0.6325
P5091,216,10.25,,0.1025
P5092,227,48.5,,0.485
P5093,206,41,,0.41
P5094,242,39.5,,0.395
P5095,236,59.75,,0.5975
P5096,174,36.25,,0.3625
P5097,168,37.75,,0.3775
P5098,176,65.25,,0.6525
P5099,304,65.5,,0.655
P5100,201,45.25,,0.4525
P5101,226,17.25,,0.1725
P5102,210,40,,0.4
P5103,132,68.5,,0.685
P5104,169,56,,0.56
P5105,271,51.5,,0.515
P5106,245,51,,0.51
P5107,205,26.75,,0.2675
P5108,231,44,,0.44
P5109,236,62.75,,0.6275
P5110,173,42.75,,0.4275
P5111,189,74,,0.74
P5112,215,46.75,,0.4675
P5113,37,39.25,,0.3925
P5114,216,41.75,,0.4175
P5115,254,67.25,,0.6725
P5116,258,65.75,,0.6575
P5117,315,61,,0.61
P5118,250,31.25,,0.3125
P5119,195,36,,0.36
P5120,173,54.75,,0.5475
P5121,211,65.75,,0.6575
P5122,244,35.25,,0.3525
P5123,177,20.25,,0.2025
P5124,141,59.25,,0.5925
P5125,156,62,,0.62
P5126,215,50,,0.5
P5127,157,86.5,,0.865
P5128,135,58.5,,0.585
P5129,226,30.5,,0.305
P5130,265,61.75,,0.6175
P5131,140,68.25,,0.6825
P5132,278,70.5,,0.705
P5133,265,52.5,,0.525
P5134,367,71.75,,0.7175
P5135,242,44,,0.44
P5136,186,34.5,,0.345
P5137,244,38.5,,0.385
P5138,219,38.5,,0.385
P5139,228,35.5,,0.355
P5140,216,62,,0.62
P5141,131,55,,0.55
P5142,214,52.5,,0.525
P5143,148,47.75,,0.4775
P5144,171,15,,0.15
P5145,158,4.75,,0.0475
P5146,318,16.75,,0.1675
P5147,236,42.5,,0.425
P5148,254,25.75,,0.2575
P5149,226,58,,0.58
P5150,226,60.75,,0.6075
P5151,120,58.5,,0.585
P5152,129,11.25,,0.1125
P5153,131,61.25,,0.6125
P5154,188,55,,0.55
P5155,272,50.5,,0.505
P5156,228,34,,0.34
P5157,224,59,,0.59
P5158,161,58.75,,0.5875
P5159,182,45.25,,0.4525
P5160,183,29.75,,0.2975
P5161,277,91.75,,0.9175
P5162,111,56.5,,0.565
P5163,107,73,,0.73
P5164,251,62,,0.62
P5165,260,54.25,,0.5425
P5166,244,48,,0.48
P5167,245,46.75,,0.4675
P5168,244,26,,0.26
P5169,269,39.75,,0.3975
P5170,230,69,,0.69
P5171,184,41,,0.41
P5172,139,50.5,,0.505
P5173,221,32,,0.32
P5174,254,35.25,,0.3525
P5175,245,71.25,,0.7125
P5176,135,60.5,,0.605
P5177,186,75.75,,0.7575
P5178,173,71.25,,0.7125
P5179,231,53,,0.53
P5180,127,43,,0.43
P5181,206,69.25,,0.6925
P5182,198,24.25,,0.2425
P5183,290,54.75,,0.5475
P5184,149,67.75,,0.6775
P5185,158,50,,0.5
P5186,134,34.25,,0.3425
P5187,268,74.75,,0.7475
P5188,83,68.75,,0.6875
P5189,284,70.5,,0.705
P5190,165,48,,0.48
P5191,300,61.25,,0.6125
P5192,187,47,,0.47
P5193,258,49.5,,0.495
P5194,243,35.5,,0.355
P5195,223,54.25,,0.5425
P5196,164,59.25,,0.5925
P5197,197,57.75,,0.5775
P5198,152,59.5,,0.595
P5199,200,61.5,,0.615
P5200,205,58,,0.58
P5201,256,94.25,,0.9425
P5202,256,74,,0.74
P5203,237,19,,0.19
P5204,122,61.75,,0.6175
P5205,205,54.25,,0.5425
P5206,250,51.5,,0.515
P5207,173,49.25,,0.4925
P5208,228,47.5,,0.475
P5209,218,70.25,,0.7025
P5210,309,50.25,,0.5025
P5211,106,73,,0.73
P5212,267,66.75,,0.6675
P5213,237,51.25,,0.5125
P5214,116,61.25,,0.6125
P5215,276,34.5,,0.345
P5216,219,38.75,,0.3875
P5217,178,65.5,,0.655
P5218,227,36.25,,0.3625
P5219,193,65.75,,0.6575
P5220,172,35.75,,0.3575
P5221,169,50.5,,0.505
P5222,159,69.75,,0.6975
P5223,174,48.25,,0.4825
P5224,96,51,,0.51
P5225,303,51,,0.51
P5226,172,53.5,,0.535
P5227,177,34.25,,0.3425
P5228,219,7,,0.07
P5229,240,68.5,,0.685
P5230,167,39.75,,0.3975
P5231,167,36,,0.36
P5232,130,68.25,,0.6825
P5233,136,34.75,,0.3475
P5234,260,31.5,,0.315
P5235,208,54.5,,0.545
P5236,195,30.5,,0.305
P5237,130,65.75,,0.6575
P5238,156,71,,0.71
P5239,183,37.75,,0.3775
P5240,191,47,,0.47
P5241,278,52.5,,0.525
P5242,233,53.25,,0.5325
P5243,213,53.5,,0.535
P5244,140,38.5,,0.385
P5245,193,69.25,,0.6925
P5246,240,43.5,,0.435
P5247,140,79.25,,0.7925
P5248,146,23.75,,0.2375
P5249,194,52.25,,0.5225
P5250,54,45,,0.45
P5251,263,10,,0.1
P5252,131,45.5,,0.455
P5253,190,26.5,,0.265
P5254,250,53.75,,0.5375
P5255,204,76.25,,0.7625
P5256,183,71.5,,0.715
P5257,190,62.5,,0.625
P5258,343,67.25,,0.6725
P5259,152,44.5,,0.445
P5260,163,54.5,,0.545
P5261,197,15.25,,0.1525
P5262,222,44.25,,0.4425
P5263,267,48.25,,0.4825
P5264,220,49.5,,0.495
P5265,232,47.5,,0.475
P5266,205,55,,0.55
P5267,132,45.75,,0.4575
P5268,277,58.75,,0.5875
P5269,159,95,,0.95
P5270,260,32.25,,0.3225
P5271,237,36,,0.36
P5272,186,44.25,,0.4425
P5273,216,63.75,,0.6375
P5274,147,71.75,,0.7175
P5275,94,52.25,,0.5225
P5276,101,51.75,,0.5175
P5277,169,63,,0.63
P5278,195,43.75,,0.4375
P5279,180,65.25,,0.6525
P5280,285,46.75,,0.4675
P5281,216,63.25,,0.6325
P5282,189,50.25,,0.5025
P5283,247,53.5,,0.535
P5284,189,43.75,,0.4375
P5285,139,37.25,,0.3725
P5286,243,75.75,,0.7575
P5287,119,36,,0.36
P5288,169,50.75,,0.5075
P5289,304,50.75,,0.5075
P5290,163,34.5,,0.345
P5291,173,53.5,,0.535
P5292,274,36.25,,0.3625
P5293,215,61,,0.61
P5294,194,51.5,,0.515
P5295,286,45.25,,0.4525
P5296,161,62.5,,0.625
P5297,222,71.25,,0.7125
P5298,232,39.25,,0.3925
P5299,254,38.5,,0.385
P5300,135,30,,0.3
P5301,234,63.25,,0.6325
P5302,163,46,,0.46
P5303,148,62.25,,0.6225
P5304,224,46.5,,0.465
P5305,170,60,,0.6
P5306,181,64.25,,0.6425
P5307,192,68.25,,0.6825
P5308,312,41.25,,0.4125
P5309,134,18.5,,0.185
P5310,211,75.5,,0.755
P5311,190,49.25,,0.4925
P5312,285,43.75,,0.4375
P5313,224,52,,0.52
P5314,146,66,,0.66
P5315,196,74.75,,0.7475
P5316,230,45,,0.45
P5317,268,64,,0.64
P5318,147,38.75,,0.3875
P5319,204,69.5,,0.695
P5320,66,57,,0.57
P5321,203,60.25,,0.6025
P5322,129,61.75,,0.6175
P5323,260,49,,0.49
P5324,246,60.5,,0.605
P5325,216,38.75,,0.3875
P5326,166,31.25,,0.3125
P5327,196,50.25,,0.5025
P5328,204,56,,0.56
P5329,132,34.5,,0.345
P5330,138,48,,0.48
P5331,214,80,,0.8
P5332,120,56,,0.56
P5333,246,54.5,,0.545
P5334,235,52.5,,0.525
P5335,323,66.25,,0.6625
P5336,210,49.5,,0.495
P5337,143,43.25,,0.4325
P5338,256,56,,0.56
P5339,205,57.5,,0.575
P5340,193,42.75,,0.4275
P5341,220,71,,0.71
P5342,106,79.25,,0.7925
P5343,265,69.5,,0.695
P5344,285,33.75,,0.3375
P5345,219,60.75,,0.6075
P5346,178,80.25,,0.8025
P5347,184,72.25,,0.7225
P5348,243,78,,0.78
P5349,287,76,,0.76
P5350,294,33.5,,0.335
P5351,285,44.75,,0.4475
P5352,265,73.75,,0.7375
P5353,200,60.25,,0.6025
P5354,128,50.25,,0.5025
P5355,137,37,,0.37
P5356,133,62,,0.62
P5357,244,74.5,,0.745
P5358,206,81,,0.81
P5359,219,39.75,,0.3975
P5360,142,54.25,,0.5425
P5361,226,61.25,,0.6125
P5362,347,59.5,,0.595
P5363,217,37.5,,0.375
P5364,183,43.25,,0.4325
P5365,241,59,,0.59
P5366,254,55,,0.55
P5367,190,44,,0.44
P5368,180,34.5,,0.345
P5369,159,35.5,,0.355
P5370,192,47.25,,0.4725
P5371,187,79.25,,0.7925
P5372,219,50,,0.5
P5373,219,13.25,,0.1325
P5374,250,59.75,,0.5975
P5375,257,47.5,,0.475
P5376,112,56.5,,0.565
P5377,244,46,,0.46
P5378,276,47.75,,0.4775
P5379,117,73,,0.73
P5380,167,46.75,,0.4675
P5381,247,45,,0.45
P5382,291,56.25,,0.5625
P5383,227,40,,0.4
P5384,210,54.5,,0.545
P5385,177,30.75,,0.3075
P5386,185,50.75,,0.5075
P5387,246,43,,0.43
P5388,238,47.75,,0.4775
P5389,235,48,,0.48
P5390,180,49.5,,0.495
P5391,286,67,,0.67
P5392,185,40.5,,0.405
P5393,320,58,,0.58
P5394,170,47.25,,0.4725
P5395,230,56,,0.56
P5396,197,73.25,,0.7325
P5397,222,14,,0.14
P5398,220,45.75,,0.4575
P5399,161,57.75,,0.5775
P5400,206,56.25,,0.5625
P5401,150,47.5,,0.475
P5402,291,40.25,,0.4025
P5403,67,82,,0.82
P5404,220,72,,0.72
P5405,212,35.75,,0.3575
P5406,239,42.5,,0.425
P5407,269,36.75,,0.3675
P5408,276,39.5,,0.395
P5409,59,40.25,,0.4025
P5410,240,31.5,,0.315
P5411,129,47.25,,0.4725
P5412,197,62,,0.62
P5413,251,64.25,,0.6425
P5414,219,52.75,,0.5275
P5415,190,35,,0.35
P5416,218,35.5,,0.355
P5417,162,55.5,,0.555
P5418,247,26.5,,0.265
P5419,239,54.75,,0.5475
P5420,229,44.5,,0.445
P5421,255,77,,0.77
P5422,219,64.25,,0.6425
P5423,210,47.25,,0.4725
P5424,215,52,,0.52
P5425,199,47.25,,0.4725
P5426,252,77,,0.77
P5427,168,47.25,,0.4725
P5428,181,25.75,,0.2575
P5429,177,61.5,,0.615
P5430,190,85,,0.85
P5431,299,57.25,,0.5725
P5432,201,67.5,,0.675
P5433,151,58.25,,0.5825
P5434,176,72.25,,0.7225
P5435,212,93.75,,0.9375
P5436,149,77,,0.77
P5437,222,77.75,,0.7775
P5438,157,28,,0.28
P5439,181,32,,0.32
P5440,133,31.75,,0.3175
P5441,212,27,,0.27
P5442,167,52.25,,0.5225
P5443,260,57.5,,0.575
P5444,212,33.5,,0.335
P5445,157,53.5,,0.535
P5446,259,67.75,,0.6775
P5447,252,73,,0.73
P5448,204,57.5,,0.575
P5449,125,58.5,,0.585
P5450,259,58.25,,0.5825
P5451,259,55.75,,0.5575
P5452,228,73.5,,0.735
P5453,188,33.75,,0.3375
P5454,136,43,,0.43
P5455,305,51.25,,0.5125
P5456,114,57,,0.57
P5457,111,48.75,,0.4875
P5458,194,32.5,,0.325
P5459,148,49.25,,0.4925
P5460,240,58,,0.58
P5461,168,41.5,,0.415
P5462,248,34,,0.34
P5463,312,51.5,,0.515
P5464,135,48.25,,0.4825
P5465,221,46.5,,0.465
P5466,237,39,,0.39
P5467,176,46.75,,0.4675
P5468,304,42.75,,0.4275
P5469,219,47,,0.47
P5470,207,65.25,,0.6525
P5471,171,34.75,,0.3475
P5472,189,61,,0.61
P5473,154,68.75,,0.6875
P5474,216,45.5,,0.455
P5475,237,46,,0.46
P5476,289,42.25,,0.4225
P5477,263,56.75,,0.5675
P5478,114,53.25,,0.5325
P5479,173,44.75,,0.4475
P5480,162,60.25,,0.6025
P5481,256,17.25,,0.1725
P5482,210,83.25,,0.8325
P5483,236,63.5,,0.635
P5484,186,74.25,,0.7425
P5485,238,51,,0.51
P5486,248,20.25,,0.2025
P5487,248,58.5,,0.585
P5488,200,57.75,,0.5775
P5489,96,66,,0.66
P5490,187,30,,0.3
P5491,253,42.75,,0.4275
P5492,196,54.25,,0.5425
P5493,208,33,,0.33
P5494,289,29.5,,0.295
P5495,216,46,,0.46
P5496,199,67,,0.67
P5497,201,53.25,,0.5325
P5498,250,72,,0.72
P5499,196,44.5,,0.445
P5500,219,32.5,,0.325
P5501,125,28.75,,0.2875
P5502,246,47.5,,0.475
P5503,98,52.75,,0.5275
P5504,173,54.5,,0.545
P5505,130,58.5,,0.585
P5506,166,31.75,,0.3175
P5507,233,46.25,,0.4625
P5508,227,38,,0.38
P5509,211,22.25,,0.2225
P5510,142,38,,0.38
P5511,212,26,,0.26
P5512,254,75.25,,0.7525
P5513,162,77.5,,0.775
P5514,174,60.75,,0.6075
P5515,219,47.5,,0.475
P5516,226,74,,0.74
P5517,149,41.5,,0.415
P5518,130,81.75,,0.8175
P5519,212,92.75,,0.9275
P5520,139,19.25,,0.1925
P5521,203,60.75,,0.6075
P5522,204,71.25,,0.7125
P5523,138,84.5,,0.845
P5524,159,53.25,,0.5325
P5525,251,47.75,,0.4775
P5526,136,36.5,,0.365
P5527,232,83.5,,0.835
P5528,184,61.75,,0.6175
P5529,305,27.25,,0.2725
P5530,107,91.5,,0.915
P5531,224,65.25,,0.6525
P5532,209,86.5,,0.865
P5533,215,73.25,,0.7325
P5534,171,46.5,,0.465
P5535,155,54.25,,0.5425
P5536,285,67,,0.67
P5537,203,15.5,,0.155
P5538,216,57,,0.57
P5539,200,38.75,,0.3875
P5540,148,64.75,,0.6475
P5541,295,24.5,,0.245
P5542,199,58,,0.58
P5543,166,52.25,,0.5225
P5544,195,24,,0.24
P5545,162,71.25,,0.7125
P5546,209,59,,0.59
P5547,222,56.5,,0.565
P5548,184,68,,0.68
P5549,291,61,,0.61
P5550,241,70,,0.7
P5551,119,73,,0.73
P5552,264,46,,0.46
P5553,251,13.75,,0.1375
P5554,313,19,,0.19
P5555,207,38.75,,0.3875
P5556,192,44.25,,0.4425
P5557,157,34.5,,0.345
P5558,214,44.75,,0.4475
P5559,94,54.25,,0.5425
P5560,198,66,,0.66
P5561,140,65.5,,0.655
P5562,163,40.75,,0.4075
P5563,303,77.25,,0.7725
P5564,129,33.25,,0.3325
P5565,221,52,,0.52
P5566,200,74,,0.74
P5567,230,56.5,,0.565
P5568,265,56.75,,0.5675
P5569,172,50,,0.5
P5570,144,66.75,,0.6675
P5571,206,91.75,,0.9175
P5572,274,33,,0.33
P5573,247,56.75,,0.5675
P5574,119,74.75,,0.7475
P5575,170,51.75,,0.5175
P5576,230,44,,0.44
P5577,274,59.5,,0.595
P5578,212,61,,0.61
P5579,146,52,,0.52
P5580,183,75.75,,0.7575
P5581,259,39.5,,0.395
P5582,147,66.25,,0.6625
P5583,190,54.5,,0.545
P5584,235,52,,0.52
P5585,173,27,,0.27
P5586,156,52.75,,0.5275
P5587,215,42.75,,0.4275
P5588,326,50.25,,0.5025
P5589,179,61.75,,0.6175
P5590,262,37.25,,0.3725
P5591,174,50.75,,0.5075
P5592,188,50.25,,0.5025
P5593,188,47,,0.47
P5594,195,49.75,,0.4975
P5595,137,60.25,,0.6025
P5596,270,30.75,,0.3075
P5597,209,41.25,,0.4125
P5598,164,53.75,,0.5375
P5599,198,24.75,,0.2475
P5600,260,45.75,,0.4575
P5601,167,56.5,,0.565
P5602,292,52.5,,0.525
P5603,157,44.75,,0.4475
P5604,291,52.75,,0.5275
P5605,225,38.75,,0.3875
P5606,223,33.25,,0.3325
P5607,198,83.75,,0.8375
P5608,146,75.5,,0.755
P5609,149,72.75,,0.7275
P5610,239,42.25,,0.4225
P5611,103,27,,0.27
P5612,187,59.75,,0.5975
P5613,218,65.5,,0.655
P5614,278,50,,0.5
P5615,172,48,,0.48
P5616,258,59.25,,0.5925
P5617,136,81.5,,0.815
P5618,190,42.25,,0.4225
P5619,186,48.25,,0.4825
P5620,165,72.25,,0.7225
P5621,304,18.75,,0.1875
P5622,250,76.75,,0.7675
P5623,162,59,,0.59
P5624,248,50.75,,0.5075
P5625,240,52.25,,0.5225
P5626,197,50,,0.5
P5627,206,86.5,,0.865
P5628,244,47.5,,0.475
P5629,259,51,,0.51
P5630,218,61.5,,0.615
P5631,162,59.5,,0.595
P5632,209,31.25,,0.3125
P5633,179,74.75,,0.7475
P5634,91,56.25,,0.5625
P5635,171,60.5,,0.605
P5636,277,46.5,,0.465
P5637,242,42,,0.42
P5638,259,24,,0.24
P5639,259,63,,0.63
P5640,315,74.25,,0.7425
P5641,226,85.25,,0.8525
P5642,327,66.5,,0.665
P5643,168,39.5,,0.395
P5644,186,31.75,,0.3175
P5645,196,70.5,,0.705
P5646,229,79,,0.79
P5647,251,53.25,,0.5325
P5648,303,26.75,,0.2675
P5649,173,36.5,,0.365
P5650,154,64,,0.64
P5651,247,49.75,,0.4975
P5652,273,51,,0.51
P5653,259,55.25,,0.5525
P5654,186,57,,0.57
P5655,261,58.75,,0.5875
P5656,341,43,,0.43
P5657,193,37.75,,0.3775
P5658,214,31,,0.31
P5659,160,67.75,,0.6775
P5660,207,42.25,,0.4225
P5661,226,68.5,,0.685
P5662,219,55,,0.55
P5663,180,58.25,,0.5825
P5664,285,31.5,,0.315
P5665,241,53.5,,0.535
P5666,222,69.75,,0.6975
P5667,206,75,,0.75
P5668,192,40.25,,0.4025
P5669,198,25.25,,0.2525
P5670,181,49.5,,0.495
P5671,218,17.25,,0.1725
P5672,184,32,,0.32
P5673,153,43.25,,0.4325
P5674,102,75,,0.75
P5675,274,45.5,,0.455
P5676,190,70.25,,0.7025
P5677,287,58.75,,0.5875
P5678,255,48.75,,0.4875
P5679,196,33.5,,0.335
P5680,153,50.25,,0.5025
P5681,182,63.75,,0.6375
P5682,176,47.5,,0.475
P5683,198,89.5,,0.895
P5684,245,53.25,,0.5325
P5685,187,60.25,,0.6025
P5686,164,55.5,,0.555
P5687,118,31.5,,0.315
P5688,249,70.75,,0.7075
P5689,218,53.75,,0.5375
P5690,274,77.25,,0.7725
P5691,287,42,,0.42
P5692,241,55,,0.55
P5693,151,39,,0.39
P5694,219,58.25,,0.5825
P5695,137,69.75,,0.6975
P5696,202,60.75,,0.6075
P5697,208,61.25,,0.6125
P5698,196,61.25,,0.6125
P5699,232,60.25,,0.6025
P5700,260,62.5,,0.625
P5701,208,50.25,,0.5025
P5702,277,57.75,,0.5775
P5703,138,58.75,,0.5875
P5704,200,37.25,,0.3725
P5705,113,43.5,,0.435
P5706,110,28,,0.28
P5707,129,64,,0.64
P5708,256,31.25,,0.3125
P5709,215,67.25,,0.6725
P5710,208,37.5,,0.375
P5711,211,46.75,,0.4675
P5712,182,51.75,,0.5175
P5713,182,24.5,,0.245
P5714,204,47.5,,0.475
P5715,152,68,,0.68
P5716,134,56.5,,0.565
P5717,242,38,,0.38
P5718,211,49.75,,0.4975
P5719,168,67.25,,0.6725
P5720,219,63,,0.63
P5721,175,70.25,,0.7025
P5722,206,61,,0.61
P5723,234,47.75,,0.4775
P5724,119,35.5,,0.355
P5725,271,90.5,,0.905
P5726,179,59.75,,0.5975
P5727,230,63.75,,0.6375
P5728,165,59.25,,0.5925
P5729,213,25.5,,0.255
P5730,179,54.25,,0.5425
P5731,322,67.25,,0.6725
P5732,186,59,,0.59
P5733,219,48.75,,0.4875
P5734,329,50.5,,0.505
P5735,175,32.25,,0.3225
P5736,216,64.75,,0.6475
P5737,45,75,,0.75
P5738,123,49.5,,0.495
P5739,163,41.5,,0.415
P5740,192,39.5,,0.395
P5741,198,63.75,,0.6375
P5742,194,85.5,,0.855
P5743,230,58.5,,0.585
P5744,280,59.75,,0.5975
P5745,145,64.75,,0.6475
P5746,161,81.75,,0.8175
P5747,244,63,,0.63
P5748,253,38.5,,0.385
P5749,239,72,,0.72
P5750,198,57.25,,0.5725
P5751,268,72,,0.72
P5752,212,100,,1
P5753,207,65.5,,0.655
P5754,226,61.75,,0.6175
P5755,206,45.5,,0.455
P5756,130,27.25,,0.2725
P5757,154,37,,0.37
P5758,173,51.5,,0.515
P5759,277,78.25,,0.7825
P5760,116,56.25,,0.5625
P5761,191,61.5,,0.615
P5762,279,44.75,,0.4475
P5763,287,86,,0.86
P5764,211,63.5,,0.635
P5765,166,40.75,,0.4075
P5766,274,60.25,,0.6025
P5767,209,36.25,,0.3625
P5768,191,69,,0.69
P5769,189,66.25,,0.6625
P5770,136,42.25,,0.4225
P5771,208,36.25,,0.3625
P5772,161,52.75,,0.5275
P5773,187,64.75,,0.6475
P5774,147,49,,0.49
P5775,243,46.75,,0.4675
P5776,135,42.5,,0.425
P5777,228,38.25,,0.3825
P5778,190,62.75,,0.6275
P5779,144,37,,0.37
P5780,151,41.5,,0.415
P5781,202,45.5,,0.455
P5782,227,12.25,,0.1225
P5783,186,50.75,,0.5075
P5784,115,65.5,,0.655
P5785,310,32,,0.32
P5786,233,58,,0.58
P5787,222,33.75,,0.3375
P5788,178,58.75,,0.5875
P5789,146,98.75,,0.9875
P5790,145,88.25,,0.8825
P5791,83,32.25,,0.3225
P5792,184,79.5,,0.795
P5793,235,63.25,,0.6325
P5794,201,52.25,,0.5225
P5795,161,74,,0.74
P5796,241,67.75,,0.6775
P5797,210,45,,0.45
P5798,187,55.5,,0.555
P5799,230,26.75,,0.2675
P5800,261,49.5,,0.495
P5801,179,52.25,,0.5225
P5802,195,51,,0.51
P5803,234,36.25,,0.3625
P5804,161,45.75,,0.4575
P5805,170,79.75,,0.7975
P5806,288,43.75,,0.4375
P5807,192,36,,0.36
P5808,196,55.5,,0.555
P5809,127,46.25,,0.4625
P5810,235,58,,0.58
P5811,256,58,,0.58
P5812,198,58.25,,0.5825
P5813,204,66.75,,0.6675
P5814,158,64.5,,0.645
P5815,222,33,,0.33
P5816,198,57.25,,0.5725
P5817,209,36.75,,0.3675
P5818,228,24.5,,0.245
P5819,150,55.5,,0.555
P5820,189,56,,0.56
P5821,287,60.5,,0.605
P5822,226,51.75,,0.5175
P5823,205,52.5,,0.525
P5824,191,58.5,,0.585
P5825,224,45,,0.45
P5826,288,29.75,,0.2975
P5827,217,37.25,,0.3725
P5828,230,68,,0.68
P5829,124,48,,0.48
P5830,252,62,,0.62
P5831,175,79,,0.79
P5832,215,46.5,,0.465
P5833,191,71.75,,0.7175
P5834,202,53,,0.53
P5835,232,38.75,,0.3875
P5836,206,63.25,,0.6325
P5837,193,32,,0.32
P5838,162,66.25,,0.6625
P5839,150,62.75,,0.6275
P5840,269,63.25,,0.6325
P5841,243,60.75,,0.6075
P5842,194,74.75,,0.7475
P5843,155,42.5,,0.425
P5844,213,48,,0.48
P5845,226,71.5,,0.715
P5846,196,41.25,,0.4125
P5847,210,29.75,,0.2975
P5848,331,82.25,,0.8225
P5849,229,36.25,,0.3625
P5850,233,24.25,,0.2425
P5851,147,70.5,,0.705
P5852,270,15.75,,0.1575
P5853,234,77,,0.77
P5854,249,57,,0.57
P5855,187,66.75,,0.6675
P5856,235,79.75,,0.7975
P5857,261,46.75,,0.4675
P5858,223,39.25,,0.3925
P5859,187,56,,0.56
P5860,191,28,,0.28
P5861,181,60.5,,0.605
P5862,319,81.75,,0.8175
P5863,178,61,,0.61
P5864,253,48.75,,0.4875
P5865,383,65.25,,0.6525
P5866,191,73,,0.73
P5867,225,71.75,,0.7175
P5868,108,57,,0.57
P5869,287,48,,0.48
P5870,169,55.75,,0.5575
P5871,147,28.75,,0.2875
P5872,242,43.75,,0.4375
P5873,256,60.25,,0.6025
P5874,207,16.75,,0.1675
P5875,248,83,,0.83
P5876,236,71.25,,0.7125
P5877,231,62.5,,0.625
P5878,302,66.25,,0.6625
